county,si_crude_rate,year
Ashe,42.4,2022
Avery,41.8,2022
Beaufort,58.1,2022
Bertie,53.2,2022
Bladen,55.1,2022
Brunswick,34.9,2022
Buncombe,92.5,2022
Burke,73.8,2022
Cabarrus,53.6,2022
Caldwell,75.5,2022
Camden,31.1,2022
Carteret,17.0,2022
Caswell,29.5,2022
Catawba,71.0,2022
Chatham,29.2,2022
Cherokee,26.7,2022
Chowan,47.5,2022
Clay,14.9,2022
Cleveland,63.7,2022
Columbus,32.0,2022
Craven,47.5,2022
Cumberland,50.2,2022
Currituck,21.4,2022
Dare,32.7,2022
Davidson,53.7,2022
Davie,60.3,2022
Duplin,50.9,2022
Durham,55.5,2022
Edgecombe,85.9,2022
Forsyth,80.9,2022
Franklin,36.4,2022
Gaston,53.1,2022
Gates,35.9,2022
Graham,41.0,2022
Granville,32.7,2022
Greene,32.3,2022
Guilford,55.1,2022
Halifax,68.6,2022
Harnett,46.6,2022
Haywood,54.2,2022
Henderson,55.1,2022
Hertford,53.8,2022
Hoke,43.7,2022
Hyde,37.4,2022
Iredell,53.7,2022
Jackson,40.0,2022
Johnston,32.7,2022
Jones,54.4,2022
Lee,43.1,2022
Lenoir,44.9,2022
Lincoln,46.7,2022
Macon,55.8,2022
Madison,55.8,2022
Martin,38.6,2022
McDowell,91.8,2022
Mecklenburg,48.1,2022
Mitchell,60.4,2022
Montgomery,28.3,2022
Moore,26.0,2022
Nash,63.9,2022
New Hanover,46.8,2022
Northampton,61.0,2022
Onslow,36.5,2022
Orange,46.1,2022
Pamlico,30.1,2022
Pasquotank,67.0,2022
Pender,30.3,2022
Perquimans,39.4,2022
Person,33.1,2022
Pitt,63.8,2022
Polk,35.8,2022
Randolph,32.2,2022
Richmond,65.9,2022
Robeson,96.3,2022
Rockingham,56.9,2022
Rowan,60.1,2022
Rutherford,56.4,2022
Sampson,52.0,2022
Scotland,85.3,2022
Stanly,61.1,2022
Stokes,50.4,2022
Surry,51.6,2022
Swain,89.4,2022
Transylvania,80.6,2022
Tyrrell,50.1,2022
Union,37.6,2022
Vance,78.8,2022
Wake,38.1,2022
Warren,43.4,2022
Washington,34.9,2022
Watauga,46.1,2022
Wayne,35.3,2022
Wilkes,45.2,2022
Wilson,76.8,2022
Yadkin,53.9,2022
Yancey,40.1,2022
Alamance,58.3,2023
Alexander,59.4,2023
Alleghany,49.0,2023
Anson,81.0,2023
Ashe,48.2,2023
Avery,35.1,2023
Beaufort,58.0,2023
Bertie,43.4,2023
Bladen,76.1,2023
Brunswick,32.9,2023
Buncombe,85.4,2023
Burke,70.8,2023
Cabarrus,51.8,2023
Caldwell,74.5,2023
Camden,37.1,2023
Carteret,13.5,2023
Caswell,34.4,2023
Catawba,77.6,2023
Chatham,28.9,2023
Cherokee,31.2,2023
Chowan,52.1,2023
Clay,23.7,2023
Cleveland,65.1,2023
